station_id,resolved_api_station_id,operational_status,mapping_source,exception_note
2358,ST-957,realtime_available,bikeList,
2359,ST-958,realtime_available,bikeList,
2360,ST-956,realtime_available,bikeList,
2362,ST-1171,realtime_available,bikeList,
2363,ST-1172,realtime_available,bikeList,
2364,ST-1173,realtime_available,bikeList,
2365,ST-1174,realtime_available,bikeList,
2368,ST-1177,realtime_available,bikeList,
2369,ST-1178,realtime_available,bikeList,
2370,ST-1179,realtime_available,bikeList,
2371,ST-1180,realtime_available,bikeList,
2372,ST-1181,realtime_available,bikeList,
2373,ST-1182,realtime_available,bikeList,
2375,ST-1184,realtime_available,bikeList,
2376,ST-1185,realtime_available,bikeList,
2377,ST-1186,realtime_available,bikeList,
2380,ST-1245,realtime_available,bikeList,
2381,ST-1246,realtime_available,bikeList,
2382,ST-1247,realtime_available,bikeList,
2383,ST-1248,realtime_available,bikeList,
2384,ST-1364,realtime_available,bikeList,
2385,ST-1365,realtime_available,bikeList,
2386,ST-1366,realtime_available,bikeList,
2387,ST-1407,realtime_available,bikeList,
2388,ST-1433,realtime_available,bikeList,
2389,ST-1559,realtime_available,bikeList,
2390,ST-1560,realtime_available,bikeList,
2391,ST-1561,realtime_available,bikeList,
2392,ST-1562,realtime_available,bikeList,
2394,ST-1564,realtime_available,bikeList,
2396,ST-1566,realtime_available,bikeList,
2398,ST-1568,realtime_available,bikeList,
2401,ST-1571,realtime_available,bikeList,
2403,ST-1573,realtime_available,bikeList,
2404,ST-1574,realtime_available,bikeList,
2405,ST-1575,realtime_available,bikeList,
2406,ST-1576,realtime_available,bikeList,
2407,ST-1577,realtime_available,bikeList,
2408,ST-1578,realtime_available,bikeList,
2409,ST-1679,realtime_available,bikeList,
2410,ST-1680,realtime_available,bikeList,
2411,ST-1703,realtime_available,bikeList,
2413,ST-1879,realtime_available,bikeList,
2414,ST-1880,realtime_available,bikeList,
2415,ST-1881,realtime_available,bikeList,
2416,ST-1882,realtime_available,bikeList,
2417,ST-1883,realtime_available,bikeList,
2418,ST-1884,realtime_available,bikeList,
2419,ST-1885,realtime_available,bikeList,
2420,ST-1886,realtime_available,bikeList,
2422,ST-1888,realtime_available,bikeList,
2423,ST-1889,realtime_available,bikeList,
2425,ST-1891,realtime_available,bikeList,
2426,ST-1892,realtime_available,bikeList,
2427,ST-1893,realtime_available,bikeList,
2430,ST-1896,realtime_available,bikeList,
2431,ST-1897,realtime_available,bikeList,
3602,ST-2474,realtime_available,bikeList,
3604,ST-2671,realtime_available,bikeList,
3606,ST-2673,realtime_available,bikeList,
3609,ST-2674,realtime_available,bikeList,
3610,ST-2675,realtime_available,bikeList,
3611,ST-2676,realtime_available,bikeList,
3612,ST-2677,realtime_available,bikeList,
3614,ST-2678,realtime_available,bikeList,
3615,ST-2679,realtime_available,bikeList,
3616,ST-2680,realtime_available,bikeList,
3618,ST-2681,realtime_available,bikeList,
3620,ST-2682,realtime_available,bikeList,
3622,ST-2684,realtime_available,bikeList,
3623,ST-2685,realtime_available,bikeList,
3624,ST-2686,realtime_available,bikeList,
3627,ST-2688,realtime_available,bikeList,
3628,ST-2689,realtime_unavailable_candidate,tbCycleStationInfo_master,bikeList 미노출; 마스터 API 존재
3629,ST-2690,realtime_available,bikeList,
3630,ST-2691,realtime_available,bikeList,
3634,ST-2788,realtime_available,bikeList,
3636,ST-2837,realtime_available,bikeList,
3637,ST-2838,realtime_available,bikeList,
3638,ST-2839,realtime_available,bikeList,
3640,ST-2847,realtime_available,bikeList,
3641,ST-2867,realtime_available,bikeList,
3642,ST-2907,realtime_available,bikeList,
3643,ST-2868,realtime_available,bikeList,
3644,ST-2869,realtime_available,bikeList,
3646,ST-2882,realtime_available,bikeList,
3647,ST-2925,realtime_available,bikeList,
3648,ST-2926,realtime_available,bikeList,
3649,ST-2927,realtime_available,bikeList,
3651,ST-3049,realtime_available,bikeList,
4902,ST-2870,realtime_available,bikeList,
4903,ST-3066,realtime_available,bikeList,
4905,ST-3079,realtime_available,bikeList,
4906,ST-3077,realtime_available,bikeList,
4907,ST-3078,realtime_available,bikeList,
4908,ST-3096,realtime_available,bikeList,
4909,ST-3108,realtime_available,bikeList,
4913,ST-3111,realtime_available,bikeList,
4914,ST-3112,realtime_available,bikeList,
4915,ST-3115,realtime_available,bikeList,
4916,ST-3164,realtime_available,bikeList,
4917,ST-3179,realtime_available,bikeList,
4918,ST-3185,realtime_available,bikeList,
4919,ST-3178,realtime_available,bikeList,
4923,ST-3207,realtime_available,bikeList,
4924,ST-3208,realtime_available,bikeList,
4925,ST-3243,realtime_available,bikeList,
4926,ST-3240,realtime_available,bikeList,
4928,ST-3245,realtime_available,bikeList,
4929,ST-3254,realtime_available,bikeList,
4930,ST-3268,realtime_available,bikeList,
