stationName,stationImgFileName,stationId,stationLongitude,stationLatitude,rackTotCnt,parkingBikeTotCnt,parkingQRBikeCnt,parkingELECBikeCnt,stationSeCd,mode
2349. 역삼빌딩 앞(하나은행 옆),,ST-959,127.03856659,37.50154495,12,0,1,0,RAK_001,
2353. 강남구청역 2번출구 뒤,,ST-963,127.04047394,37.51681137,10,0,0,0,RAK_001,
2354. 청담역 2번출구,,ST-953,127.05676270,37.51978683,5,0,0,0,RAK_001,
2356. 강남구청,,ST-954,127.04711914,37.51807022,10,0,0,0,RAK_002,
2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),,ST-966,127.04297638,37.50166321,10,0,0,0,RAK_001,
2363. 강남 을지병원 교차로,,ST-1172,127.02751923,37.51913834,15,0,3,0,RAK_002,
2372. 대치역 사거리,,ST-1181,127.06379700,37.49449921,10,0,27,3,RAK_001,
2373. 개포동역 사거리,,ST-1182,127.06557465,37.48927689,20,0,9,5,RAK_001,
2375. 수서역 1번출구 앞,,ST-1184,127.10099792,37.48735046,14,0,47,4,RAK_002,
2376. 수서역 7번출구 앞,,ST-1185,127.10051727,37.48677826,14,0,7,12,RAK_002,
2377. 수서역 5번출구,,ST-1186,127.10232544,37.48735046,9,0,27,0,RAK_002,
2382. 역삼동 sk뷰 501동앞,,ST-1247,127.05036163,37.50122833,6,0,0,0,RAK_001,
2387. 래미안강남힐즈 사거리,,ST-1407,127.09607697,37.47245407,10,0,27,4,RAK_001,
2388. 강남구 도시관리공단,,ST-1433,127.05161285,37.51678467,18,0,0,0,RAK_001,
2389. 경기여자고등학교 후문 (삼성로3길 입구),,ST-1559,127.06723785,37.48616028,15,0,7,0,RAK_001,
2391. 구룡터널 입구(개포1단지아파트),,ST-1561,127.05962372,37.47598648,5,0,0,0,RAK_001,
2394. 개포래미안포레스트아파트 107동 앞,,ST-1564,127.05419159,37.48025131,10,0,0,0,RAK_002,
2401. 밀알학교 입구 (삼성서울병원 입구),,ST-1571,127.08267212,37.48656082,10,0,0,0,RAK_001,
2403. 공무원연금매점 교차로 (개포주공9단지 입구),,ST-1573,127.07453918,37.48871994,10,0,0,1,RAK_001,
2405. 청담공원앞 교차로,,ST-1575,127.05084991,37.51871109,14,0,0,0,RAK_001,
2406. 논현동 광명빌딩 앞,,ST-1576,127.02364349,37.51757050,10,0,0,2,RAK_001,
2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞),,ST-1577,127.03011322,37.49847031,10,0,3,0,RAK_001,
2408. 강남한양수자인아파트,,ST-1578,127.11327362,37.47734070,14,0,5,0,RAK_001,
2409. 역삼동 디오슈페리움 (우성아파트 사거리),,ST-1679,127.03074646,37.49206161,20,0,6,4,RAK_001,
2410. 포스코피앤에스타워 (역삼역 3번출구 부근),,ST-1680,127.03375244,37.49959946,10,0,1,0,RAK_002,
2411. 세곡동 성당,,ST-1703,127.11222839,37.47296906,15,0,19,4,RAK_001,
2421. 신논현역 4번출구,,ST-1887,127.02579498,37.50467300,15,0,6,2,RAK_002,
2422.수서동 성당 맞은편,,ST-1888,127.09484863,37.48416901,10,0,3,0,RAK_002,
2423.영희초교 사거리(래미안개포루체하임),,ST-1889,127.08065033,37.49083710,10,0,5,1,RAK_002,
2425.세곡동 사거리(대왕초등학교 정류장),,ST-1891,127.10684967,37.46461868,20,0,26,1,RAK_002,
2426.강남한신휴플러스 6단지,,ST-1892,127.10469818,37.46829605,10,0,9,1,RAK_002,
2427.개포고등학교 정문앞,,ST-1893,127.05837250,37.48485184,10,0,2,0,RAK_002,
2430.강남파이낸스센터앞(역삼역2번출구),,ST-1896,127.03605652,37.50024414,10,0,1,0,RAK_002,
2431.대치역 7번출구,,ST-1897,127.06290436,37.49411774,10,0,23,9,RAK_002,
2542.신논현타워 앞,,ST-1926,127.02391052,37.50508881,10,0,0,1,RAK_002,
3215.강변삼성래미안,,ST-1986,126.90782928,37.52974319,15,0,11,0,RAK_002,
3602. 한국지역난방공사강남지사,,ST-2474,127.09433746,37.49229431,5,0,2,0,RAK_002,
3604. 삼성중앙역 5번출구,,ST-2671,127.05386353,37.51296234,15,0,0,0,RAK_002,
3615. 서울 논현동우체국 앞,,ST-2679,127.03260040,37.51446152,10,0,1,0,RAK_002,
3616. 역삼중학교 앞(체육관 방향),,ST-2680,127.04950714,37.49526215,10,0,0,1,RAK_002,
3620. 청담역 11번 출구,,ST-2682,127.05159760,37.51925659,10,0,0,0,RAK_002,
3623. 일원에코파크 앞(개포로 방면),,ST-2685,127.08650208,37.49587631,10,0,5,2,RAK_002,
3628. 역삼1동 주민센터,,ST-2689,127.03302765,37.49521255,10,0,7,4,RAK_002,
3629. 청담사거리(신한오피스텔빌딩 앞),,ST-2690,127.04895020,37.52416229,4,0,0,0,RAK_002,
3630. 개포우성6차아파트 정문 앞,,ST-2691,127.05536652,37.47685623,10,0,1,0,RAK_002,
3636. 삼성중앙역·플래티넘아파트 정류소,,ST-2837,127.05156708,37.51264191,5,0,1,1,RAK_002,
3637. 세곡데이케어센터,,ST-2838,127.10287476,37.46072388,10,0,2,3,RAK_002,
3638. 신청담나들목,,ST-2839,127.05162811,37.52796173,5,0,1,5,RAK_002,
3642. 강남자곡힐스테이트,,ST-2907,127.08969879,37.47081375,13,0,0,2,RAK_002,
3651. 개포동역 4번출구,,ST-3049,127.06616974,37.48929596,5,0,25,3,RAK_002,
3668. 성내삼성아파트,,ST-2740,127.12707520,37.53137589,10,0,32,2,RAK_002,
4135. 삼성생명 앞,,ST-3258,127.04224396,37.57902145,18,0,50,1,RAK_002,
4319. 삼성전자R&D어린이집 뒤,,ST-2562,127.02184296,37.46559143,7,0,0,0,RAK_002,
4347. 논현지하보도,,ST-3332,127.02232361,37.50836945,10,0,7,1,RAK_002,
4349.삼성화재서초타워,,ST-3361,127.02896118,37.49446869,6,0,3,5,RAK_002,
4360. 르노삼성자동차 성수사업소 앞,,ST-2467,127.05957794,37.54824448,15,0,8,4,RAK_002,
4452. 삼성SDS,,ST-2571,127.09985352,37.51633835,10,0,9,0,RAK_002,
4553. 당산삼성2차아파트,,ST-2807,126.89863586,37.52762222,10,0,28,1,RAK_002,
4567. 한림대학교 강남성심병원 신관,,ST-2817,126.90802002,37.49128342,10,0,5,3,RAK_002,
4752. 삼성사이버빌리지아파트,,ST-2624,126.96485901,37.55891418,7,0,4,0,RAK_002,
4902. 구역삼세무서 교차로,,ST-2870,127.03937531,37.49524307,6,0,1,0,RAK_002,
4905. 강남경찰서,,ST-3079,127.06679535,37.50971985,10,0,3,0,RAK_002,
4916. 청담역 1번출구,,ST-3164,127.05767822,37.51973724,5,0,2,0,RAK_002,
4923.수협대치동지점,,ST-3207,127.06831360,37.49861526,9,0,0,5,RAK_002,
4924.논현동가구거리,,ST-3208,127.02636719,37.51280975,8,0,1,0,RAK_002,
4925. 청담백영빌딩 앞,,ST-3243,127.04660797,37.52390289,7,0,0,0,RAK_002,
4926. 대치우성아파트 사거리,,ST-3240,127.06803894,37.50099564,10,0,0,0,RAK_002,
4929. 파스쿠찌 청담사거리점 앞,,ST-3254,127.04914856,37.52464676,6,0,2,3,RAK_002,
4932. 개포래미안포레스트 130동 맞은편,,ST-3294,127.05743408,37.47748566,10,0,1,0,RAK_002,
4935. 도곡삼성래미안,,ST-3302,127.05106354,37.48920441,8,0,1,0,RAK_002,
4937.개포래미안포레스트 126동 앞,,ST-3364,127.05630493,37.47816467,5,0,0,0,RAK_002,
4938.LH수서2단지 201동 앞,,ST-3376,127.10666656,37.47955322,10,0,26,2,RAK_002,
