station_id,resolved_api_station_id,operational_status,mapping_source,exception_note,stationName,current_bike_stock,current_capacity,shared,realtime_join_success
2348,ST-797,realtime_available,bikeList,,2348. 포스코사거리(기업은행),3,23,13,True
2349,ST-959,realtime_available,bikeList,,2349. 역삼빌딩 앞(하나은행 옆),0,12,0,True
2350,ST-960,realtime_available,bikeList,,2350. 래미안그레이튼102동앞,0,9,0,True
2351,ST-937,realtime_available,bikeList,,2351. 청소년수련관(수영장)앞,0,11,0,True
2352,ST-962,realtime_available,bikeList,,2352. 서울본부세관(건설회관 앞),0,6,0,True
2353,ST-963,realtime_available,bikeList,,2353. 강남구청역 2번출구 뒤,0,10,0,True
2354,ST-953,realtime_available,bikeList,,2354. 청담역 2번출구,1,5,20,True
2356,ST-954,realtime_available,bikeList,,2356. 강남구청,0,10,0,True
2357,ST-966,realtime_available,bikeList,,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),3,10,30,True
2358,ST-957,realtime_available,bikeList,,2358. 구룡초사거리 (현대아파트10동 앞 ),1,7,14,True
2359,ST-958,realtime_available,bikeList,,"2359. 국립국악중,고교 정문 맞은편",12,10,120,True
2360,ST-956,realtime_available,bikeList,,2360. 도곡1동 주민센터 교차로,1,9,11,True
2362,ST-1171,realtime_available,bikeList,,2362. 신사동 가로수길 입구,10,10,100,True
2363,ST-1172,realtime_available,bikeList,,2363. 강남 을지병원 교차로,2,15,13,True
2364,ST-1173,realtime_available,bikeList,,2364. 도산공원교차로,3,10,30,True
2365,ST-1174,realtime_available,bikeList,,2365. K+ 타워 앞,0,15,0,True
2368,ST-1177,realtime_available,bikeList,,2368. 도곡동 경남아파트 건너편,2,7,29,True
2369,ST-1178,realtime_available,bikeList,,2369. KT선릉타워,3,20,15,True
2370,ST-1179,realtime_available,bikeList,,2370. 한티역 3번출구,2,10,20,True
2371,ST-1180,realtime_available,bikeList,,2371. 한국우편사업진흥원,1,6,17,True
2372,ST-1181,realtime_available,bikeList,,2372. 대치역 사거리,18,10,180,True
2373,ST-1182,realtime_available,bikeList,,2373. 개포동역 사거리,15,20,75,True
2375,ST-1184,realtime_available,bikeList,,2375. 수서역 1번출구 앞,26,14,186,True
2376,ST-1185,realtime_available,bikeList,,2376. 수서역 7번출구 앞,10,14,71,True
2377,ST-1186,realtime_available,bikeList,,2377. 수서역 5번출구,35,9,389,True
2380,ST-1245,realtime_available,bikeList,,2380. 봉은사로68길 북측,0,12,0,True
2381,ST-1246,realtime_available,bikeList,,2381. 언주역 4번출구,0,8,0,True
2382,ST-1247,realtime_available,bikeList,,2382. 역삼동 sk뷰 501동앞,1,6,17,True
2383,ST-1248,realtime_available,bikeList,,2383. 보금자리정원,12,10,120,True
2384,ST-1364,realtime_available,bikeList,,2384. 자곡사거리,28,15,187,True
2385,ST-1365,realtime_available,bikeList,,2385. 학동역,0,10,0,True
2386,ST-1366,realtime_available,bikeList,,2386. 크린랩 본사,1,10,10,True
2387,ST-1407,realtime_available,bikeList,,2387. 래미안강남힐즈 사거리,34,10,340,True
2388,ST-1433,realtime_available,bikeList,,2388. 강남구 도시관리공단,0,18,0,True
2389,ST-1559,realtime_available,bikeList,,2389. 경기여자고등학교 후문 (삼성로3길 입구),7,15,47,True
2390,ST-1560,realtime_available,bikeList,,2390. 구룡마을 입구 (래미안블레스티지 아파트),8,13,62,True
2391,ST-1561,realtime_available,bikeList,,2391. 구룡터널 입구(개포1단지아파트),0,5,0,True
2392,ST-1562,realtime_available,bikeList,,2392. 구룡산 입구 (구룡산 서울둘레길 입구),1,10,10,True
2394,ST-1564,realtime_available,bikeList,,2394. 개포래미안포레스트아파트 107동 앞,0,10,0,True
2396,ST-1566,realtime_available,bikeList,,2396. 영동3교 북단(우성캐릭터 앞 보도),5,15,33,True
2398,ST-1568,realtime_available,bikeList,,2398. 더라움,0,10,0,True
2401,ST-1571,realtime_available,bikeList,,2401. 밀알학교 입구 (삼성서울병원 입구),0,10,0,True
2403,ST-1573,realtime_available,bikeList,,2403. 공무원연금매점 교차로 (개포주공9단지 입구),21,10,210,True
2404,ST-1574,realtime_available,bikeList,,2404. 대모산입구역 4번 출구 앞,16,10,160,True
2405,ST-1575,realtime_available,bikeList,,2405. 청담공원앞 교차로,0,14,0,True
2406,ST-1576,realtime_available,bikeList,,2406. 논현동 광명빌딩 앞,2,10,20,True
2407,ST-1577,realtime_available,bikeList,,2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞),3,10,30,True
2408,ST-1578,realtime_available,bikeList,,2408. 강남한양수자인아파트,5,14,36,True
2409,ST-1679,realtime_available,bikeList,,2409. 역삼동 디오슈페리움 (우성아파트 사거리),9,20,45,True
2410,ST-1680,realtime_available,bikeList,,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),0,10,0,True
2411,ST-1703,realtime_available,bikeList,,2411. 세곡동 성당,23,15,153,True
2413,ST-1879,realtime_available,bikeList,,2413.도곡역 1번 출구,36,20,180,True
2414,ST-1880,realtime_available,bikeList,,2414. 도곡역 아카데미스위트 앞,8,20,40,True
2415,ST-1881,realtime_available,bikeList,,2415.한티역 롯데백화점 앞,3,15,20,True
2416,ST-1882,realtime_available,bikeList,,2416.한티역 6번 출구,3,10,30,True
2417,ST-1883,realtime_available,bikeList,,"2417.선정릉 디캠프(D,CAMP)앞",0,10,0,True
2418,ST-1884,realtime_available,bikeList,,2418.봉은사역 7번 출구 ,3,10,30,True
2419,ST-1885,realtime_available,bikeList,,"2419.봉은사역 1,2번 출구 ",6,13,46,True
2420,ST-1886,realtime_available,bikeList,,2420.학여울역 사거리(LG베스트샵 앞),4,20,20,True
2422,ST-1888,realtime_available,bikeList,,2422.수서동 성당 맞은편,9,10,90,True
2423,ST-1889,realtime_available,bikeList,,2423.영희초교 사거리(래미안개포루체하임),6,10,60,True
2425,ST-1891,realtime_available,bikeList,,2425.세곡동 사거리(대왕초등학교 정류장),24,20,120,True
2426,ST-1892,realtime_available,bikeList,,2426.강남한신휴플러스 6단지,10,10,100,True
2427,ST-1893,realtime_available,bikeList,,2427.개포고등학교 정문앞,4,10,40,True
2430,ST-1896,realtime_available,bikeList,,2430.강남파이낸스센터앞(역삼역2번출구),0,10,0,True
2431,ST-1897,realtime_available,bikeList,,2431.대치역 7번출구,16,10,160,True
3602,ST-2474,realtime_available,bikeList,,3602. 한국지역난방공사강남지사,2,5,40,True
3604,ST-2671,realtime_available,bikeList,,3604. 삼성중앙역 5번출구,12,15,80,True
3606,ST-2673,realtime_available,bikeList,,3606. 신사동주민센터 옆,8,10,80,True
3609,ST-2674,realtime_available,bikeList,,3609. 언주초등학교 입구,5,16,31,True
3610,ST-2675,realtime_available,bikeList,,3610. 윗반마을 입구,12,10,120,True
3611,ST-2676,realtime_available,bikeList,,3611. 방죽마을 입구,9,16,56,True
3612,ST-2677,realtime_available,bikeList,,3612. 은곡마을,24,10,240,True
3614,ST-2678,realtime_available,bikeList,,3614. 은마아파트 입구 사거리,7,10,70,True
3615,ST-2679,realtime_available,bikeList,,3615. 서울 논현동우체국 앞,0,10,0,True
3616,ST-2680,realtime_available,bikeList,,3616. 역삼중학교 앞(체육관 방향),2,10,20,True
3618,ST-2681,realtime_available,bikeList,,3618. 서울율현초교 삼거리,27,10,270,True
3620,ST-2682,realtime_available,bikeList,,3620. 청담역 11번 출구,0,10,0,True
3622,ST-2684,realtime_available,bikeList,,3622. 은마아파트입구 사거리(1),3,7,43,True
3623,ST-2685,realtime_available,bikeList,,3623. 일원에코파크 앞(개포로 방면),4,10,40,True
3624,ST-2686,realtime_available,bikeList,,3624. 대모산입구역 7번 출구 앞,9,10,90,True
3627,ST-2688,realtime_available,bikeList,,3627. 압구정나들목,7,10,70,True
3628,ST-2689,realtime_unavailable_candidate,tbCycleStationInfo_master,bikeList 미노출; 마스터 API 존재,,,,,False
3629,ST-2690,realtime_available,bikeList,,3629. 청담사거리(신한오피스텔빌딩 앞),0,4,0,True
3630,ST-2691,realtime_available,bikeList,,3630. 개포우성6차아파트 정문 앞,6,10,60,True
3634,ST-2788,realtime_available,bikeList,,3634. 국악고교 앞 교차로,1,5,20,True
3636,ST-2837,realtime_available,bikeList,,3636. 삼성중앙역·플래티넘아파트 정류소,3,5,60,True
3637,ST-2838,realtime_available,bikeList,,3637. 세곡데이케어센터,9,10,90,True
3638,ST-2839,realtime_available,bikeList,,3638. 신청담나들목,6,5,120,True
3640,ST-2847,realtime_available,bikeList,,3640. 일원1동주민센터앞 사거리,3,7,43,True
3641,ST-2867,realtime_available,bikeList,,3641. 대청역,11,10,110,True
3642,ST-2907,realtime_available,bikeList,,3642. 강남자곡힐스테이트,18,13,138,True
3643,ST-2868,realtime_available,bikeList,,3643. 더시그넘하우스 앞,1,5,20,True
3644,ST-2869,realtime_available,bikeList,,3644. 상록수아파트,0,5,0,True
3646,ST-2882,realtime_available,bikeList,,3646. 선정릉역 4번 출구,0,7,0,True
3647,ST-2925,realtime_available,bikeList,,3647. 구룡역 1번 출구,0,10,0,True
3648,ST-2926,realtime_available,bikeList,,3648. 구룡역 4번 출구,4,5,80,True
3649,ST-2927,realtime_available,bikeList,,3649. 구룡역 5번 출구,4,6,67,True
3651,ST-3049,realtime_available,bikeList,,3651. 개포동역 4번출구,24,5,480,True
4902,ST-2870,realtime_available,bikeList,,4902. 구역삼세무서 교차로,1,6,17,True
4903,ST-3066,realtime_available,bikeList,,4903. 신사스퀘어,6,6,100,True
4905,ST-3079,realtime_available,bikeList,,4905. 강남경찰서,0,10,0,True
4906,ST-3077,realtime_available,bikeList,,4906. 섬유센터 앞,0,10,0,True
4907,ST-3078,realtime_available,bikeList,,4907. 극동스포츠 앞,15,5,300,True
4908,ST-3096,realtime_available,bikeList,,4908. SB타워 앞,5,5,100,True
4909,ST-3108,realtime_available,bikeList,,4909. 노보텔 앰배서더 앞,0,6,0,True
4913,ST-3111,realtime_available,bikeList,,4913. 레베쌍트 빌딩 앞,0,7,0,True
4914,ST-3112,realtime_available,bikeList,,4914. 도심공항타워 앞,0,6,0,True
4915,ST-3115,realtime_available,bikeList,,4915. 영동중앙교회 버스정류장,4,6,67,True
4916,ST-3164,realtime_available,bikeList,,4916. 청담역 1번출구,3,5,60,True
4917,ST-3179,realtime_available,bikeList,,4917. 일원에코파크 주차장,4,5,80,True
4918,ST-3185,realtime_available,bikeList,,4918. 매봉역 1번출구,21,5,420,True
4919,ST-3178,realtime_available,bikeList,,4919. 학여울역사거리(은마아파트),0,6,0,True
4923,ST-3207,realtime_available,bikeList,,4923.수협대치동지점,5,9,56,True
4924,ST-3208,realtime_available,bikeList,,4924.논현동가구거리,1,8,13,True
4925,ST-3243,realtime_available,bikeList,,4925. 청담백영빌딩 앞,3,7,43,True
4926,ST-3240,realtime_available,bikeList,,4926. 대치우성아파트 사거리,4,10,40,True
4928,ST-3245,realtime_available,bikeList,,4928. 교수마을 입구,16,10,160,True
4929,ST-3254,realtime_available,bikeList,,4929. 파스쿠찌 청담사거리점 앞,3,6,50,True
4930,ST-3268,realtime_available,bikeList,,4930. 학여울역 1번출구,16,10,160,True
