target,feature,category,description,source,importance_mean,importance_std
bike_change,is_holiday_eve,calendar,공휴일 전날 여부,휴일 캘린더,0.0,0.0
bike_change,is_weekend,calendar,주말 여부,휴일 캘린더,0.0,0.0
bike_change,is_qr_mixed,station_meta,QR 혼합 대여소 여부,대여소 정보,0.0,0.0
bike_change,rain_x_night,weather_interaction,심야 시간대 강수 상호작용,weather x calendar,0.0,0.0
bike_change,year,calendar,연도,time 파생,0.0,0.0
bike_change,weekofyear,calendar,연중 몇 번째 주인지,time 파생,-4.103822228707088e-07,3.4790229711511218e-06
bike_change,cluster_4,cluster,cluster 4 여부,cluster dummy,-3.6405212426871003e-06,1.4301161050568956e-05
bike_change,bike_count_index_lag_2,lag,bike_count_index의 2시간 전 값,station-hour 집계 파생,-3.505307858420181e-05,0.00019724644174516518
bike_change,temperature,weather,기온,gangnam_weather,-4.295481119516905e-05,5.518035444276849e-05
bike_change,humidity,weather,습도,gangnam_weather,-0.00010083399543588574,0.00017862572575473386
bike_change,day,calendar,일,time 파생,-0.00012123692706230334,5.003600682007192e-05
bike_change,rental_count_lag_24,lag,rental_count의 24시간 전 값,station-hour 집계 파생,-0.000272837558859577,3.712137735471353e-05
bike_change,month_cos,calendar,월의 주기성(cos),time 파생,-0.000287142004181599,0.0001379112155564813
bike_change,temp_x_commute,weather_interaction,출퇴근 시간대 기온 상호작용,weather x calendar,-0.0003697920143401016,0.0005376828452133877
bike_change,lat,station_meta,대여소 위도,대여소 정보,-0.0015820470678361935,0.0003268106563181896
bike_change,qr_count,station_meta,QR 거치대 수,대여소 정보,-0.0017753895709389234,0.0002872669036487515
bike_count_index,bike_count_index_lag_1,lag,bike_count_index의 1시간 전 값,station-hour 집계 파생,2171.7337926875516,7.609243670054005
bike_count_index,bike_count_index_lag_2,lag,bike_count_index의 2시간 전 값,station-hour 집계 파생,1037.6072146238275,3.6425172661643024
bike_count_index,bike_index_rollmean_3,rolling,bike_index의 직전 3시간 이동평균,station-hour 집계 파생,946.4878177422801,3.324242531674481
bike_count_index,bike_index_rollmean_24,rolling,bike_index의 직전 24시간 이동평균,station-hour 집계 파생,204.05824973393965,0.726996909887542
bike_count_index,bike_index_rollmean_168,rolling,bike_index의 직전 168시간 이동평균,station-hour 집계 파생,9.91171841842632,0.02875955360222168
bike_count_index,bike_count_index_lag_168,lag,bike_count_index의 168시간 전 값,station-hour 집계 파생,8.166619849823297,0.022893464431697184
bike_count_index,bike_count_index_lag_24,lag,bike_count_index의 24시간 전 값,station-hour 집계 파생,0.9810045440524086,0.0146431956322043
bike_count_index,dayofyear,calendar,연중 몇 번째 날인지,time 파생,0.10295364297478098,0.0032655660142356345
bike_count_index,month,calendar,월,time 파생,0.09932802093715505,0.004153426565690877
bike_count_index,bike_change_lag_1,lag,bike_change의 1시간 전 값,station-hour 집계 파생,0.09697761935698897,0.006543540820351671
bike_count_index,bike_change_lag_168,lag,bike_change의 168시간 전 값,station-hour 집계 파생,0.05596643680242989,0.0011652498028314547
bike_count_index,return_count_lag_1,lag,return_count의 1시간 전 값,station-hour 집계 파생,0.026955025343653977,0.0010422380197909174
bike_count_index,rental_count_lag_1,lag,rental_count의 1시간 전 값,station-hour 집계 파생,0.020773813595994877,0.00207276779218771
bike_count_index,bike_change_lag_24,lag,bike_change의 24시간 전 값,station-hour 집계 파생,0.017624706781658544,0.0018872728907718792
bike_count_index,return_count_lag_24,lag,return_count의 24시간 전 값,station-hour 집계 파생,0.010419920988889034,0.0003745551471359863
bike_count_index,bike_change_lag_2,lag,bike_change의 2시간 전 값,station-hour 집계 파생,0.009552810607529475,0.0009224249491395006
bike_count_index,bike_change_rollmean_3,rolling,bike_change의 직전 3시간 이동평균,station-hour 집계 파생,0.004890656490899185,0.00034919535684668394
bike_count_index,bike_change_rollstd_24,rolling,bike_change의 직전 24시간 이동표준편차,station-hour 집계 파생,0.002021016009941349,0.0006281154596212574
bike_count_index,day,calendar,일,time 파생,0.0010761004089259174,0.00016142817877135948
bike_count_index,hour_cos,calendar,시간의 주기성(cos),time 파생,0.00047582087759308794,0.0002637955558774163
bike_count_index,hour,calendar,시간(0~23),time 파생,0.00029075197539622327,0.00013127593884582392
bike_count_index,is_night_hour,calendar,심야 시간대 여부,time 파생,0.0002641667101663063,0.00010048931162472013
bike_count_index,is_weekend_or_holiday,calendar,주말 또는 공휴일 여부,휴일 캘린더,0.00022984039393514344,0.00017213445118597004
bike_count_index,is_weekend,calendar,주말 여부,휴일 캘린더,0.00016991048395550065,9.171890097915057e-05
bike_count_index,cluster_0,cluster,cluster 0 여부,cluster dummy,0.0001447224344985898,5.0351514895610225e-05
bike_count_index,rental_count_lag_24,lag,rental_count의 24시간 전 값,station-hour 집계 파생,0.00014011432419658298,0.0004942199099340422
bike_count_index,weekday_sin,calendar,요일의 주기성(sin),time 파생,8.138164779773287e-05,0.00013917660774005714
bike_count_index,cluster,cluster,train 기준 cluster 라벨,works/01_clustering 결과,7.80746554100246e-05,7.559077652909048e-06
bike_count_index,hour_sin,calendar,시간의 주기성(sin),time 파생,6.36631364284342e-05,0.00013918043653465945
bike_count_index,weekofyear,calendar,연중 몇 번째 주인지,time 파생,5.193180222954711e-05,5.9932630419636614e-05
bike_count_index,is_lunch_hour,calendar,점심 시간대 여부,time 파생,4.6683910658910456e-05,3.225962154892028e-05
bike_count_index,weekday_cos,calendar,요일의 주기성(cos),time 파생,2.7647925168035787e-05,8.50679562675604e-06
bike_count_index,cluster_4,cluster,cluster 4 여부,cluster dummy,2.753176576009153e-05,1.972531229079017e-05
bike_count_index,is_holiday_eve,calendar,공휴일 전날 여부,휴일 캘린더,1.4241287283149143e-05,9.16686261573017e-06
bike_count_index,weekday,calendar,요일(0~6),time 파생,7.050058494773026e-07,2.457840778234894e-06
bike_count_index,year,calendar,연도,time 파생,0.0,0.0
bike_count_index,cluster_2,cluster,cluster 2 여부,cluster dummy,-2.3703425815480017e-06,2.609914149827718e-06
bike_count_index,is_commute_hour,calendar,출퇴근 시간대 여부,time 파생,-5.037681153267452e-06,2.281785400263771e-06
bike_count_index,month_cos,calendar,월의 주기성(cos),time 파생,-1.0214575376791638e-05,5.061204754534394e-06
bike_count_index,month_sin,calendar,월의 주기성(sin),time 파생,-2.0466262197723257e-05,3.6837529447366496e-05
bike_count_index,bike_change_rollmean_168,rolling,bike_change의 직전 168시간 이동평균,station-hour 집계 파생,-3.619532402147444e-05,1.6598636589756724e-05
bike_count_index,is_holiday,calendar,공휴일 여부,휴일 캘린더,-5.3523780548644005e-05,5.880981795877512e-05
bike_count_index,station_id,identifier,station 고유 식별자,시간별 집계 데이터,-6.546346996165002e-05,3.3947711264425746e-05
bike_count_index,cluster_3,cluster,cluster 3 여부,cluster dummy,-0.00010328180030882983,7.766043291072109e-05
bike_count_index,cluster_1,cluster,cluster 1 여부,cluster dummy,-0.00014642211098266542,3.135846818187483e-05
bike_count_index,bike_change_rollmean_24,rolling,bike_change의 직전 24시간 이동평균,station-hour 집계 파생,-0.0002410237590494043,8.335672751949497e-05
bike_count_index,bike_change_rollstd_168,rolling,bike_change의 직전 168시간 이동표준편차,station-hour 집계 파생,-0.000301900561625823,0.00019250736443825366
